date,vol
1998-12-24,20.950098710984633
1998-12-25,20.12213944887571
1998-12-28,20.040967341922396
1998-12-29,19.959749196821086
1998-12-30,19.786228847357446
1998-12-31,19.0299929584853
1999-01-01,18.29967245608511
1999-01-04,17.95065736957842
1999-01-05,17.74756490338886
1999-01-06,18.39136242914048
1999-01-07,17.706802082815518
1999-01-08,17.047484623838205
1999-01-11,16.697394167953274
1999-01-12,22.250262020929103
1999-01-13,21.38837076544167
1999-01-14,24.434755984048625
1999-01-15,23.634098248082154
1999-01-18,22.672732168841055
1999-01-19,21.761582295412254
1999-01-20,21.27882299376542
1999-01-21,21.16285056413715
1999-01-22,20.356770962016544
1999-01-25,19.60722795297693
1999-01-26,19.68714199674498
1999-01-27,18.93520055346655
1999-01-28,18.38337237832058
1999-01-29,17.764716265676746
1999-02-01,17.10899342451215
1999-02-02,18.03309158186693
1999-02-03,17.783324885971126
1999-02-04,17.433794767634495
1999-02-05,22.361158825069868
1999-02-08,21.821426717792768
1999-02-09,27.85243364591324
1999-02-10,26.686360336321624
1999-02-11,26.738604675637056
1999-02-12,27.67851896326825
1999-02-15,26.52079206961964
1999-02-16,25.607829896342253
1999-02-17,24.633129155671636
1999-02-18,23.624494661262066
1999-02-19,22.698692297134652
1999-02-22,22.61510716313323
1999-02-23,21.903438634150575
1999-02-24,22.250329975081268
1999-02-25,22.38108576454681
1999-02-26,21.58375639225017
1999-03-01,20.724478570038862
1999-03-02,19.91564410206208
1999-03-03,19.373879219196137
1999-03-04,19.313620685930434
1999-03-05,19.940536702907472
1999-03-08,19.192851169120235
1999-03-09,18.465921910373172
1999-03-10,17.834802942561492
1999-03-11,17.36619647476096
1999-03-12,16.75495461050253
1999-03-15,16.152013372951373
1999-03-16,15.88237173724378
1999-03-17,15.52173304756914
1999-03-18,15.543198319522272
1999-03-19,17.342207817922148
1999-03-22,17.84888467103757
1999-03-23,24.892483684839483
1999-03-24,24.30696122513055
1999-03-25,24.431140947569354
1999-03-26,23.744416859548267
1999-03-29,23.513023965453698
1999-03-30,22.55913907931772
1999-03-31,23.38975544976903
1999-04-01,22.44948970466812
1999-04-02,21.546631569690888
1999-04-05,20.930500997348343
1999-04-06,20.146164002112165
1999-04-07,19.47032819446041
1999-04-08,19.474792938565482
1999-04-09,18.85872827101552
1999-04-12,18.247102893336244
1999-04-13,17.810271081597833
1999-04-14,21.723873963913526
1999-04-15,20.893270782718535
1999-04-16,20.082890031068736
1999-04-19,23.277344693929333
1999-04-20,22.550116984175492
1999-04-21,22.026421679428548
1999-04-22,21.154084711941568
1999-04-23,20.487287082481174
1999-04-26,20.011440128086733
1999-04-27,19.241226364241964
1999-04-28,18.62030375692083
1999-04-29,22.401923042453298
1999-04-30,21.581561296625413
1999-05-03,21.541221692373902
1999-05-04,21.74222923253271
1999-05-05,21.447353123404294
1999-05-06,24.422175824442835
1999-05-07,24.05405462702702
1999-05-10,23.0803825791515
1999-05-11,22.672554333378496
1999-05-12,21.81121564700143
1999-05-13,21.15710433873218
1999-05-14,23.409345057049336
1999-05-17,25.40000133858264
1999-05-18,24.403141109291646
1999-05-19,24.40954788602198
1999-05-20,23.50486119933492
1999-05-21,22.865226961480175
1999-05-24,25.400229526522
1999-05-25,25.04581833360611
1999-05-26,24.167920307713693
1999-05-27,25.987485757571854
1999-05-28,25.144213250766068
1999-05-31,24.10898255837438
1999-06-01,23.17210564450283
1999-06-02,22.271097233858956
1999-06-03,22.10083853612799
1999-06-04,21.29502364403477
1999-06-07,20.46019618674269
1999-06-08,21.551414524341553
1999-06-09,21.477458229501927
1999-06-10,22.272047683138613
1999-06-11,21.57906819118935
1999-06-14,20.721371576225355
1999-06-15,20.290738576996155
1999-06-16,20.553276527113628
1999-06-17,19.956276907279072
1999-06-18,19.23518120528112
1999-06-21,18.973809211647513
1999-06-22,18.635570181778714
1999-06-23,19.751064983944534
1999-06-24,19.02737081154409
1999-06-25,18.399349010223162
1999-06-28,18.308056914921362
1999-06-29,18.078088615780153
1999-06-30,18.00445644833523
1999-07-01,17.373900080292852
1999-07-02,16.777642623443857
1999-07-05,16.16512913650862
1999-07-06,15.71475737006461
1999-07-07,16.10201813438303
1999-07-08,16.270720082405695
1999-07-09,15.685341679415211
1999-07-12,15.572030503437887
1999-07-13,15.632843464961836
1999-07-14,15.090850234496399
1999-07-15,14.917495580693162
1999-07-16,14.473479277630517
1999-07-19,14.03935229275197
1999-07-20,20.527426726211935
1999-07-21,20.51205723470954
1999-07-22,21.124675902839314
1999-07-23,20.778154200987153
1999-07-26,20.003706656517437
1999-07-27,19.269599476896243
1999-07-28,18.625256400919692
1999-07-29,20.05214901201365
1999-07-30,22.251790939158134
1999-08-02,21.789379798424736
1999-08-03,22.17970991694887
1999-08-04,24.398767427884547
1999-08-05,23.96732125207154
1999-08-06,23.431574851042345
1999-08-09,23.778158212948284
1999-08-10,22.809712405026065
1999-08-11,22.513942080408754
1999-08-12,21.798693630582545
1999-08-13,21.475228799712472
1999-08-16,20.890104451629725
1999-08-17,20.109041846890666
1999-08-18,19.426623175426037
1999-08-19,19.33975728906648
1999-08-20,18.781696409004166
1999-08-23,18.47108648672297
1999-08-24,17.781659765050055
1999-08-25,17.290451006263545
1999-08-26,20.219312747964505
1999-08-27,19.566263107706593
1999-08-30,22.731973781438338
1999-08-31,22.860112598147893
1999-09-01,21.93878811602865
1999-09-02,22.164519755681603
1999-09-03,22.269003839417696
1999-09-06,21.37511178918136
1999-09-07,22.493516665919536
1999-09-08,21.809719392967896
1999-09-09,20.95648491517602
