date,vol
2002-07-31,9.81059227569875
2002-08-01,9.655915223322955
2002-08-02,9.777754895680296
2002-08-05,9.677187752647976
2002-08-06,9.849301274709795
2002-08-07,9.64730034776569
2002-08-08,9.469715433950483
2002-08-09,9.578102400789
2002-08-12,9.349151212810712
2002-08-13,9.517643237692827
2002-08-14,9.322506637165779
2002-08-15,9.30567252808737
2002-08-16,9.352633062405474
2002-08-19,9.109716043873156
2002-08-20,9.435526249234856
2002-08-21,9.226334440068818
2002-08-22,9.180355679384105
2002-08-23,9.077219331931998
2002-08-26,8.838107127660312
2002-08-27,8.669333123141595
2002-08-28,8.540235898381262
2002-08-29,8.473316540764896
2002-08-30,8.27796605453296
2002-09-03,8.910692296337025
2002-09-04,8.67601763483685
2002-09-05,8.562530607244566
2002-09-06,8.777628221792035
2002-09-09,8.560842598716555
2002-09-10,8.427788037201696
2002-09-11,8.308448086134979
2002-09-12,8.293080537411896
2002-09-13,8.242239550025223
2002-09-16,8.028314792034502
2002-09-17,7.90362238470437
2002-09-18,7.710163655850633
2002-09-19,7.7131928797353435
2002-09-20,7.5159114417347945
2002-09-23,7.588001476014616
2002-09-24,7.498556981179779
2002-09-25,7.786995466802328
2002-09-26,7.590359042891186
2002-09-27,7.746959894048762
2002-09-30,7.821068929500622
2002-10-01,8.22471718662715
2002-10-02,8.09597722328812
2002-10-03,7.888314344649305
2002-10-04,7.693121291127548
2002-10-07,7.619795194098067
2002-10-08,7.4528997041420055
2002-10-09,7.475265132421725
2002-10-10,7.562166356276487
2002-10-11,7.7921619079688025
2002-10-14,7.596818676261795
2002-10-15,9.530269754839052
2002-10-16,9.275706010865157
2002-10-17,9.22335136487817
2002-10-18,9.037976477066092
2002-10-21,9.212511839883843
2002-10-22,8.969254283383876
2002-10-23,8.764166132610677
2002-10-24,8.693921738778192
2002-10-25,8.602656380444357
2002-10-28,8.386774588600792
2002-10-29,8.759006245002912
2002-10-30,8.52821202832106
2002-10-31,8.496390457129428
2002-11-01,8.541929454169006
2002-11-04,8.393056630334385
2002-11-05,8.229495537394744
2002-11-06,8.0978897251074
2002-11-07,8.590329725918558
2002-11-08,8.408316383200622
2002-11-11,8.236977576757145
2002-11-12,8.098466966037462
2002-11-13,7.89857989767781
2002-11-14,8.895070522486035
2002-11-15,8.66350448721532
2002-11-18,8.441982089533239
2002-11-19,8.22593654242482
2002-11-20,8.246673147397075
2002-11-21,8.289112594240713
2002-11-22,8.0836915824393
2002-11-25,7.892713677817028
2002-11-26,8.310179781448774
2002-11-27,9.057795824592205
2002-11-29,8.831920515946686
2002-12-02,8.599682598793981
2002-12-03,8.373821708156916
2002-12-04,8.244999939357186
2002-12-05,8.087383285092898
2002-12-06,8.003650742005176
2002-12-09,7.908491183531787
2002-12-10,7.709619445861125
2002-12-11,7.600277705452611
2002-12-12,7.411192130824838
2002-12-13,7.337471608122241
2002-12-16,7.299952465598663
2002-12-17,7.163124318340427
2002-12-18,7.306258413168808
2002-12-19,7.347359525707177
2002-12-20,7.160654243852303
2002-12-23,6.982979306857496
2002-12-24,6.933097489578522
2002-12-26,6.780507591618787
2002-12-27,6.930518162446441
2002-12-30,6.788257714612786
2002-12-31,6.620191296329737
2003-01-02,8.571356695412925
2003-01-03,8.366321987588094
2003-01-06,8.194660212601862
2003-01-07,8.059014083620898
2003-01-08,7.8930872287084215
2003-01-09,8.814369631459757
2003-01-10,8.589960093038849
2003-01-13,8.387555782228812
2003-01-14,8.210291785314332
2003-01-15,8.03508252602299
2003-01-16,7.827689084270019
2003-01-17,7.761709090142453
2003-01-21,7.655536349596938
2003-01-22,7.595913032677507
2003-01-23,7.438668025930449
2003-01-24,7.282446704233406
2003-01-27,7.178888799807391
2003-01-28,7.168608567916092
2003-01-29,7.153131454125528
2003-01-30,6.974594697901807
2003-01-31,6.80179593930897
2003-02-03,6.6552309952397595
2003-02-04,6.592398531642334
2003-02-05,6.574779631288033
2003-02-06,6.555433715628586
2003-02-07,6.39634333037244
2003-02-10,6.275608783217769
2003-02-11,6.132427382366627
2003-02-12,6.174795867071235
2003-02-13,6.157921922207199
2003-02-14,6.135968578798297
2003-02-18,5.988566305886577
2003-02-19,5.990602640803345
2003-02-20,5.974311508450158
2003-02-21,5.9788631695331516
2003-02-24,5.998701159417761
2003-02-25,5.876118004260976
2003-02-26,5.833360026605592
2003-02-27,5.705257049423802
2003-02-28,5.693918439879518
2003-03-03,5.608418921585654
2003-03-04,5.521390259708147
2003-03-05,5.432921313621246
2003-03-06,5.359312381266836
2003-03-07,5.366285754597867
2003-03-10,5.372023529360236
2003-03-11,5.251091886455616
2003-03-12,5.197004521837555
2003-03-13,6.4597408307144955
2003-03-14,6.410050795430563
2003-03-17,6.845558267957406
2003-03-18,6.9504552656642575
2003-03-19,6.98616512830895
2003-03-20,6.81548290292038
2003-03-21,7.399000662251626
2003-03-24,7.966244987445465
2003-03-25,7.760111545590051
2003-03-26,7.6047823637498
2003-03-27,7.438839102978367
2003-03-28,7.2717930663626555
2003-03-31,7.523470077032273
2003-04-01,7.345352816577295
2003-04-02,7.588318627996586
2003-04-03,7.419485831241946
2003-04-04,7.2570725502781075
2003-04-07,7.121678257264926
2003-04-08,7.065309929507693
2003-04-09,6.988972714212011
2003-04-10,6.879519779752072
2003-04-11,6.769281793513991
2003-04-14,6.675797750082007
2003-04-15,6.626311281550241
2003-04-16,6.509502561640175
2003-04-17,6.366055701924073
2003-04-21,6.246274921903454
2003-04-22,6.095773814701461
2003-04-23,5.952015423367114
2003-04-24,6.160767452192949
